allergens,product_name,fat_100g,energy_100g,sugars_100g,carbohydrates_100g,fiber_100g,proteins_100g,potassium_100g
,Coeur de chocolat etui,15.0,1966.0,54.0,76.0,,4.1,
,Pizza prosciutto,4.7,824.0,2.1,25.0,,11.0,
,Tarte au Maroilles,17.8,1159.0,1.7,19.9,,8.7,
,Dragées Amandes Avola blanche,15.0,1971.0,70.0,75.0,,4.6,
,Pain Burger Artisan,1.11,1160.0,1.11,53.3,2.22,10.0,
,Katsuobushi (Dried and smoked bonito flakes),5.2,1540.0,0.1,0.1,,80.6,
,Pain de mie sans gluten,4.4,895.0,3.0,35.9,,3.7,
,lentilles vertes ,,,,,,,
,Miel,,,,,,,
,Root Beer,0.0,213.0,0.0,14.0,0.0,0.0,
,Jus d'orange 33cl,,,,,,,
,Palets au beurre,,,,,,,
,Sables a la noix de coco,16.0,1941.0,24.0,71.0,,7.0,
"Blé, Beurre, Oeufs, Noisette",Biscuits sablés fourrage au cacao,,,,,,,
,A&w - Root Beer - 355ml,0.0,201.0,12.7,13.3,,0.0,
,Nerds,,,,,,,
,Quiche Lorraine,6.79,478.0,0.7140000000000001,7.86,0.35700000000000004,5.36,0.0
,Pâté au poulet,10.2,751.0,,16.6,,33.9,
,Compote de Pomme,0.5,1577.0,66.0,93.0,,1.5,
,Bonbons acidulés Raisin Fraise,0.0,1674.0,93.3,93.3,,0.0,
,Papas en Hojuelas,,,,,,,
,Chocolat de couverture noir,39.1,2314.0,32.6,37.5,,7.4,
,Chocolat de couverture lait,36.7,2368.0,50.4,51.3,,6.7,
,Chocolat de couverture blanc,36.8,2385.0,51.7,51.7,,7.9,
,Thé noir aromatisé violette et fleurs,0.1,17.0,0.1,0.1,,0.1,
,The noir aromatisé fruits rouges,,,,,,,
,Thé noir aromatisé vanille-chocolat,,,,,,,
,Thé de Noël aromatisé orange-cannelle,,,,,,,
,Colorant alimentaire,,,,,,,
,Colorant alimentaire,,,,,,,
,Pépite de chocolat blanc,31.2,2092.0,58.9,58.9,,6.8,
,Sirops pour ganache macarons,,,,,,,
,Feutre alimentaire noir,,,,,,,
,Colorant alimentaire rouge,,,,,,,
,Glaçage fondant,1.0,1443.0,75.0,86.0,,0.0,
,Glaçage fondant,1.0,1456.0,75.0,86.0,,0.0,
,Glaçage fondant,,,,,,,
,Pate d'amandes,10.41,1749.0,70.54,77.68,,4.29,
,Pate d'amandes,10.34,1736.0,70.04,77.13,,4.26,
"amandes, amandes",Pâte d'Amandes,10.29,1732.0,69.97,77.02,,4.2,
,Stylo déco rouge sang,0.0,1054.0,0.0,63.0,,0.0,
,Preparation mug cake chocolat-caramel au beurre salé,7.0,1632.0,42.0,70.0,0.0,7.0,
,Maïs popcorn,,,,,,,
,Mini Confettis,,1753.0,87.7,,0.9,0.6,
,Pâte à sucre rouge,6.42,1720.0,81.67,87.86,,0.03,
,Colorant alimentaire,0.25,2142.0,0.0,0.0,,0.0,
,Colorant Alimentaire Rouge velours en spray,86.67,3276.0,0.0,0.12,,0.66,
,Colorant alimentaire velour marron,76.0,2879.0,0.0,0.08,,0.45,
,Colorant alimentaire bleu velours en spray,80.0,3012.0,0.0,0.0,0.0,0.0,
